ticket_id,order_id,ticket_type,ticket_status,csat_rating
800113,129038,Damaged item,Resolved,3
800114,123888,Delivery delay,Resolved,2
800115,114503,Refund request,Resolved,3
800116,125744,Delivery delay,Resolved,2
800117,137883,Payment issue,Resolved,5
800118,101895,Damaged item,Resolved,4
800119,117048,Delivery delay,Open,3
800120,108294,Refund request,Resolved,
800121,106700,Missing item,Open,5
800122,129058,Delivery delay,Resolved,5
800123,107430,Payment issue,Resolved,4
800124,108656,Refund request,Resolved,
800125,131989,Wrong item,Resolved,1
800126,122401,App issue,Resolved,2
800127,138326,Wrong item,Resolved,2
800128,127799,Refund request,Resolved,4
800129,106911,Wrong item,Resolved,3
800130,141284,Delivery delay,Resolved,2
800131,111406,Delivery delay,Resolved,3
800132,115739,Delivery delay,Open,4
800133,131155,Wrong item,Resolved,2
800134,119155,Missing item,Resolved,
800135,104594,Delivery delay,Resolved,1
800136,124299,Damaged item,Resolved,4
800137,114556,Delivery delay,Resolved,
800138,103758,Wrong item,Resolved,4
800139,116266,Delivery delay,Escalated,4
800140,107674,Refund request,Resolved,3
800141,115565,App issue,Resolved,
800142,132804,Missing item,Resolved,3
800143,139623,Delivery delay,Resolved,
800144,135771,Payment issue,Resolved,
800145,129704,Delivery delay,Resolved,
800146,121105,Refund request,Resolved,
800147,135551,Refund request,Resolved,5
800148,120390,Refund request,Resolved,4
800149,100867,Refund request,Resolved,
800150,134613,Delivery delay,Escalated,4
800151,140855,Refund request,Resolved,3
800152,113728,Damaged item,Resolved,3
800153,122652,Delivery delay,Resolved,5
800154,123033,Wrong item,Resolved,1
800155,103643,App issue,Resolved,
800156,107465,Refund request,Resolved,
800157,135541,Payment issue,Resolved,5
800158,115097,Refund request,Resolved,
800159,104760,Refund request,Resolved,1
800160,111241,Missing item,Escalated,2
800161,117771,Payment issue,Resolved,4
800162,111205,Missing item,Resolved,2
800163,116474,Wrong item,Open,5
800164,124598,Delivery delay,Resolved,1
800165,123442,Damaged item,Resolved,
800166,106741,App issue,Escalated,3
800167,134932,Delivery delay,Resolved,5
800168,100041,Damaged item,Resolved,4
800169,122295,Missing item,Resolved,3
800170,134343,App issue,Open,3
800171,112650,Refund request,Resolved,2
800172,102049,Delivery delay,Resolved,
800173,130889,Delivery delay,Escalated,3
800174,107682,Missing item,Resolved,
800175,106040,Delivery delay,Resolved,2
800176,124707,Delivery delay,Resolved,1
800177,130970,Delivery delay,Resolved,2
800178,114177,App issue,Resolved,
800179,140160,Delivery delay,Resolved,5
800180,108717,Refund request,Resolved,4
800181,107537,App issue,Escalated,
800182,118286,App issue,Open,
800183,131049,Delivery delay,Resolved,2
800184,123868,Delivery delay,Resolved,4
800185,107665,Payment issue,Resolved,
800186,107016,App issue,Resolved,
800187,129470,Refund request,Open,3
800188,112142,Delivery delay,Resolved,2
800189,141818,Wrong item,Resolved,1
800190,102147,Delivery delay,Resolved,
800191,108683,Wrong item,Resolved,2
800192,128436,Delivery delay,Resolved,1
800193,122062,App issue,Resolved,
800194,137862,App issue,Resolved,
800195,109423,Wrong item,Resolved,1
800196,137530,Delivery delay,Resolved,5
800197,139154,Missing item,Resolved,5
800198,139814,Delivery delay,Open,2
800199,138305,App issue,Resolved,
800200,115850,Delivery delay,Open,1
800201,122967,Refund request,Resolved,5
800202,119682,Refund request,Resolved,
800203,134544,Refund request,Resolved,5
800204,127042,Delivery delay,Resolved,4
800205,119184,Wrong item,Resolved,1
800206,125065,Wrong item,Resolved,1
800207,130779,Delivery delay,Open,4
800208,125712,Delivery delay,Resolved,3
800209,109424,Wrong item,Open,5
800210,135136,Delivery delay,Resolved,1
800211,122013,Refund request,Resolved,4
800212,140854,Refund request,Resolved,5
800213,130695,Missing item,Resolved,3
800214,118254,Refund request,Resolved,
800215,128056,Wrong item,Resolved,1
800216,126151,Refund request,Resolved,2
800217,108488,App issue,Resolved,
800218,122997,Missing item,Resolved,5
800219,138908,Missing item,Resolved,3
800220,127627,Payment issue,Resolved,3
800221,141591,App issue,Resolved,5
800222,119943,Payment issue,Resolved,2
800223,118730,App issue,Resolved,4
800224,103956,Refund request,Resolved,
800225,138085,App issue,Resolved,
800226,137800,Missing item,Resolved,
800227,128955,Damaged item,Resolved,
800228,131837,Delivery delay,Escalated,1
800229,117087,Delivery delay,Open,4
800230,100570,Delivery delay,Resolved,
800231,138709,Damaged item,Resolved,5
800232,123664,Delivery delay,Open,
800233,113492,Delivery delay,Resolved,2
800234,135792,Refund request,Resolved,2
800235,109117,Refund request,Open,
800236,126389,Delivery delay,Escalated,1
800237,141646,Damaged item,Resolved,4
800238,121786,Delivery delay,Resolved,
800239,111409,Damaged item,Resolved,3
800240,120000,Delivery delay,Resolved,2
800241,127545,Missing item,Resolved,1
800242,141992,Payment issue,Open,4
800243,141666,Delivery delay,Resolved,
800244,127370,Delivery delay,Open,4
800245,135747,Delivery delay,Resolved,1
800246,103876,Wrong item,Resolved,5
800247,139468,Delivery delay,Resolved,4
800248,111657,Missing item,Resolved,
800249,134318,Damaged item,Resolved,
800250,114683,Missing item,Resolved,1
800251,115403,Wrong item,Resolved,2
800252,121559,Wrong item,Resolved,
800253,111505,App issue,Resolved,2
800254,112068,Missing item,Resolved,
800255,128313,Wrong item,Resolved,
800256,120254,Refund request,Resolved,4
800257,114271,Wrong item,Resolved,3
800258,112612,Refund request,Resolved,
800259,118154,Damaged item,Resolved,
800260,111941,App issue,Resolved,1
800261,108752,Refund request,Resolved,5
800262,125991,Delivery delay,Resolved,2
800263,119906,Wrong item,Resolved,5
800264,102146,Refund request,Resolved,1
800265,126352,Missing item,Resolved,1
800266,124830,Wrong item,Resolved,2
800267,110398,Delivery delay,Resolved,1
800268,107663,Delivery delay,Resolved,5
800269,111155,Delivery delay,Open,1
800270,103562,Delivery delay,Resolved,1
800271,129898,Payment issue,Resolved,2
800272,136870,App issue,Resolved,3
800273,135798,Wrong item,Open,3
800274,124972,Payment issue,Resolved,1
800275,119263,Wrong item,Resolved,3
800276,137160,Refund request,Resolved,3
800277,119435,Wrong item,Resolved,1
800278,128856,Damaged item,Resolved,1
800279,109108,Delivery delay,Resolved,4
800280,135704,Payment issue,Resolved,3
800281,136009,Damaged item,Escalated,
800282,126933,Payment issue,Escalated,
800283,132399,App issue,Resolved,4
800284,124557,App issue,Resolved,4
800285,101444,Wrong item,Resolved,4
800286,137351,Refund request,Open,3
800287,132758,Damaged item,Open,2
800288,119439,Delivery delay,Resolved,4
800289,118520,Delivery delay,Resolved,
800290,116991,App issue,Resolved,5
800291,139130,Refund request,Resolved,4
800292,120411,Missing item,Resolved,
800293,128555,Payment issue,Open,
800294,105476,Refund request,Open,
800295,117080,App issue,Resolved,3
800296,111313,Delivery delay,Resolved,4
800297,108499,Refund request,Resolved,2
800298,130153,Delivery delay,Resolved,
800299,128964,Refund request,Resolved,3
800300,117350,Damaged item,Open,2
800301,117320,Missing item,Resolved,4
800302,101488,App issue,Resolved,
800303,129319,Damaged item,Resolved,5
800304,140094,App issue,Resolved,5
800305,137208,Refund request,Escalated,
800306,106937,Damaged item,Resolved,
800307,125691,Wrong item,Resolved,2
800308,110731,Wrong item,Resolved,5
800309,122625,Missing item,Resolved,2
800310,131889,Missing item,Resolved,4
800311,127010,Delivery delay,Resolved,
800312,129820,App issue,Resolved,
800313,127446,Missing item,Resolved,1
800314,129187,Payment issue,Escalated,5
800315,119044,Delivery delay,Resolved,
800316,106930,Missing item,Resolved,
800317,135798,Refund request,Resolved,4
800318,108854,Wrong item,Resolved,4
800319,107649,Damaged item,Resolved,2
800320,133848,Wrong item,Resolved,2
800321,140219,Delivery delay,Resolved,
800322,107642,App issue,Resolved,
800323,130208,App issue,Resolved,5
800324,113849,Refund request,Resolved,4
800325,123982,Delivery delay,Resolved,3
800326,103415,Refund request,Resolved,
800327,114849,Delivery delay,Resolved,5
800328,118822,Payment issue,Open,
800329,130351,App issue,Resolved,5
800330,131127,Wrong item,Resolved,
800331,127791,App issue,Resolved,
800332,141503,Refund request,Escalated,4
800333,137921,Wrong item,Resolved,4
800334,108340,Damaged item,Resolved,5
800335,113244,Refund request,Resolved,1
800336,111057,Wrong item,Resolved,2
800337,138347,Damaged item,Resolved,1
800338,117317,App issue,Resolved,5
800339,116439,Damaged item,Escalated,4
800340,131716,Delivery delay,Resolved,3
800341,110352,Damaged item,Resolved,2
800342,107426,App issue,Resolved,2
800343,119025,Refund request,Resolved,1
800344,111205,Wrong item,Resolved,2
800345,108126,App issue,Resolved,2
800346,137497,App issue,Resolved,2
800347,122246,App issue,Resolved,4
800348,139704,Delivery delay,Resolved,4
800349,137567,Damaged item,Resolved,
800350,135976,Wrong item,Resolved,5
800351,115894,Payment issue,Resolved,3
800352,127069,Missing item,Resolved,4
800353,133711,Refund request,Resolved,3
800354,124628,Delivery delay,Resolved,
800355,141248,Delivery delay,Resolved,4
800356,112541,Wrong item,Resolved,5
800357,111497,Damaged item,Resolved,1
800358,112765,Damaged item,Open,1
800359,132607,Delivery delay,Resolved,4
800360,140145,Wrong item,Resolved,
800361,100621,Damaged item,Resolved,3
800362,119664,Wrong item,Resolved,5
800363,127846,Delivery delay,Resolved,1
800364,106634,Wrong item,Resolved,
800365,103017,Payment issue,Resolved,
800366,125948,Missing item,Resolved,4
800367,125278,Delivery delay,Resolved,3
800368,113099,Payment issue,Resolved,5
800369,132159,Wrong item,Resolved,
800370,120700,Delivery delay,Resolved,4
800371,113057,Payment issue,Open,4
800372,110305,Missing item,Resolved,
800373,134582,Delivery delay,Resolved,2
800374,137203,Refund request,Escalated,1
800375,103580,Wrong item,Resolved,4
800376,123416,Delivery delay,Resolved,5
800377,118153,Wrong item,Resolved,5
800378,101597,Wrong item,Resolved,2
800379,130070,Missing item,Open,
800380,121618,Delivery delay,Open,2
800381,111641,Payment issue,Resolved,1
800382,128558,Refund request,Resolved,3
800383,131911,App issue,Resolved,5
800384,128632,Damaged item,Resolved,
800385,136447,Missing item,Resolved,
800386,108074,Delivery delay,Resolved,2
800387,101659,Payment issue,Open,5
800388,113709,Damaged item,Resolved,3
800389,110753,Damaged item,Resolved,1
800390,116282,Damaged item,Resolved,
800391,136521,Delivery delay,Resolved,4
800392,141776,Refund request,Resolved,5
800393,112666,Refund request,Escalated,3
800394,140200,Missing item,Open,5
800395,122215,Damaged item,Resolved,1
800396,103068,Damaged item,Escalated,3
800397,133789,App issue,Resolved,4
800398,119478,Delivery delay,Escalated,5
800399,137847,Delivery delay,Resolved,5
800400,107589,Refund request,Open,4
800401,116270,Wrong item,Resolved,4
800402,125963,Missing item,Resolved,2
800403,123332,Delivery delay,Open,2
800404,127195,Refund request,Escalated,4
800405,105176,App issue,Resolved,2
800406,139637,Wrong item,Open,1
800407,128006,Delivery delay,Resolved,3
800408,125835,Refund request,Resolved,
800409,116453,Wrong item,Resolved,
800410,132007,Delivery delay,Open,4
800411,115809,App issue,Resolved,1
800412,109177,Damaged item,Resolved,5
800413,112166,Refund request,Resolved,4
800414,124298,Wrong item,Resolved,
800415,131712,Refund request,Resolved,1
800416,101870,Damaged item,Escalated,
800417,135981,Payment issue,Resolved,4
800418,120999,App issue,Resolved,2
800419,141353,App issue,Resolved,3
800420,141484,Wrong item,Escalated,4
800421,119401,Wrong item,Resolved,3
800422,138215,App issue,Resolved,5
800423,124551,Refund request,Resolved,3
800424,107152,Wrong item,Resolved,2
800425,115118,Missing item,Resolved,5
800426,124568,Wrong item,Resolved,3
800427,102030,Payment issue,Resolved,4
800428,117560,App issue,Open,2
800429,113183,Payment issue,Resolved,3
800430,139789,Damaged item,Resolved,2
800431,116009,Delivery delay,Open,
800432,109757,Delivery delay,Open,
800433,121800,Wrong item,Resolved,3
800434,136086,Payment issue,Open,3
800435,120919,Delivery delay,Resolved,3
800436,106308,App issue,Resolved,1
800437,103662,Delivery delay,Escalated,1
800438,121440,Damaged item,Resolved,5
800439,111159,Refund request,Resolved,2
800440,138564,Missing item,Resolved,4
800441,114113,Delivery delay,Resolved,3
800442,133785,Payment issue,Resolved,
800443,116493,Damaged item,Resolved,
800444,136380,Missing item,Resolved,2
800445,106496,Wrong item,Resolved,4
800446,135407,Damaged item,Resolved,
800447,121057,Missing item,Resolved,3
800448,133884,Missing item,Resolved,
800449,118332,Delivery delay,Resolved,5
800450,122737,Refund request,Resolved,4
800451,123339,Wrong item,Resolved,
800452,136665,Wrong item,Resolved,5
800453,102007,App issue,Resolved,2
800454,140707,App issue,Resolved,4
800455,129505,Wrong item,Resolved,2
800456,138275,Delivery delay,Resolved,
800457,121728,App issue,Resolved,2
800458,118430,Damaged item,Resolved,
800459,121325,Delivery delay,Resolved,4
800460,100608,Wrong item,Resolved,
800461,106332,App issue,Open,2
800462,110952,Payment issue,Resolved,4
800463,106024,Wrong item,Resolved,1
800464,127660,Delivery delay,Resolved,4
800465,106986,App issue,Resolved,1
800466,130087,Refund request,Resolved,
800467,106661,Wrong item,Resolved,5
800468,134127,App issue,Resolved,
800469,109303,Wrong item,Resolved,3
800470,134333,Refund request,Open,4
800471,136616,Refund request,Open,1
800472,110393,Missing item,Resolved,
800473,126741,Delivery delay,Resolved,1
800474,119769,Wrong item,Open,2
800475,100302,Delivery delay,Resolved,5
800476,104624,Missing item,Escalated,4
800477,128477,Refund request,Open,1
800478,101528,Payment issue,Resolved,2
800479,139166,Missing item,Resolved,1
800480,125609,Refund request,Resolved,5
800481,126100,Damaged item,Resolved,
800482,114570,Damaged item,Resolved,1
800483,129636,App issue,Escalated,3
800484,113544,Wrong item,Resolved,3
800485,120281,Payment issue,Resolved,2
800486,103395,Delivery delay,Resolved,4
800487,130548,Delivery delay,Resolved,1
800488,135252,Delivery delay,Resolved,2
800489,130158,Refund request,Escalated,3
800490,120121,Missing item,Resolved,2
800491,124481,Payment issue,Resolved,1
800492,123416,Delivery delay,Resolved,1
800493,108056,Wrong item,Resolved,4
800494,139686,Damaged item,Escalated,1
800495,119432,Damaged item,Resolved,
800496,138608,App issue,Resolved,2
800497,111150,Damaged item,Resolved,
800498,125136,App issue,Resolved,3
800499,106766,Delivery delay,Resolved,4
800500,141504,Wrong item,Resolved,4
800501,115331,Delivery delay,Resolved,
800502,116264,Refund request,Resolved,2
800503,141846,Payment issue,Resolved,4
800504,126379,Delivery delay,Resolved,
800505,128694,Refund request,Resolved,
800506,109065,Delivery delay,Resolved,4
800507,131108,Delivery delay,Resolved,5
800508,114355,Payment issue,Resolved,2
800509,123713,Payment issue,Resolved,3
800510,126503,Refund request,Escalated,4
800511,130550,Wrong item,Resolved,4
800512,132273,Damaged item,Resolved,
800513,120937,Refund request,Resolved,3
800514,110090,App issue,Resolved,
800515,125760,Refund request,Resolved,1
800516,109698,Refund request,Resolved,1
800517,109609,App issue,Resolved,2
800518,101402,Payment issue,Resolved,
800519,115239,Delivery delay,Resolved,5
800520,115682,Payment issue,Resolved,1
800521,102929,Payment issue,Resolved,2
800522,103454,Delivery delay,Resolved,3
800523,138519,Refund request,Resolved,4
800524,114451,Delivery delay,Escalated,3
800525,134198,Refund request,Open,1
800526,121010,Refund request,Resolved,2
800527,108898,Delivery delay,Resolved,
800528,102940,Damaged item,Resolved,1
800529,100879,Refund request,Resolved,
800530,100524,Wrong item,Resolved,3
800531,131870,Wrong item,Escalated,5
800532,136078,App issue,Open,4
800533,135864,Delivery delay,Resolved,
800534,106253,Payment issue,Resolved,1
800535,129257,Damaged item,Resolved,1
800536,130094,Delivery delay,Resolved,3
800537,133038,Missing item,Resolved,
800538,132014,Missing item,Resolved,1
800539,124809,Payment issue,Resolved,1
800540,116695,Delivery delay,Resolved,1
800541,116610,App issue,Resolved,2
800542,115139,Refund request,Open,5
800543,111617,Damaged item,Resolved,5
800544,120729,Delivery delay,Resolved,1
800545,140820,App issue,Resolved,1
800546,126540,App issue,Resolved,5
800547,114258,Wrong item,Resolved,5
800548,114657,Refund request,Escalated,
800549,106651,Delivery delay,Resolved,1
800550,122890,Delivery delay,Resolved,5
800551,110683,Damaged item,Resolved,2
800552,101784,App issue,Resolved,4
800553,126567,Damaged item,Resolved,5
800554,129390,Delivery delay,Escalated,
800555,114484,Refund request,Resolved,3
800556,140324,Wrong item,Resolved,
800557,109765,Missing item,Resolved,5
800558,127399,App issue,Resolved,5
800559,104895,Delivery delay,Resolved,4
800560,116469,Refund request,Resolved,
800561,110102,Missing item,Open,1
800562,100454,Damaged item,Resolved,
800563,131371,Missing item,Escalated,1
800564,120873,Wrong item,Open,
800565,111437,Refund request,Resolved,
800566,119175,Delivery delay,Resolved,2
800567,109748,Delivery delay,Resolved,3
800568,100383,Payment issue,Escalated,4
800569,141355,App issue,Open,2
800570,119076,Refund request,Resolved,4
800571,133499,Delivery delay,Resolved,
800572,100877,Refund request,Resolved,2
800573,137820,Damaged item,Resolved,1
800574,117700,App issue,Open,5
800575,111811,Wrong item,Resolved,2
800576,104386,App issue,Resolved,
800577,134013,Refund request,Resolved,4
800578,139823,Refund request,Resolved,3
800579,137146,Delivery delay,Resolved,4
800580,123757,Refund request,Resolved,3
800581,105924,App issue,Resolved,1
800582,109825,Refund request,Escalated,2
800583,136347,Wrong item,Open,5
800584,136562,App issue,Resolved,
800585,134361,Refund request,Open,2
800586,102832,Delivery delay,Resolved,1
800587,106073,Delivery delay,Resolved,5
800588,128588,Delivery delay,Resolved,2
800589,118154,Missing item,Resolved,3
800590,102044,App issue,Resolved,5
800591,129053,Refund request,Resolved,
800592,117860,Delivery delay,Open,
800593,123976,Refund request,Resolved,1
800594,114509,Wrong item,Resolved,4
800595,100038,Missing item,Resolved,3
800596,107333,Refund request,Resolved,3
800597,100658,Missing item,Resolved,3
800598,120411,Delivery delay,Open,1
800599,124337,Damaged item,Resolved,1
800600,139448,Delivery delay,Resolved,
800601,125338,App issue,Open,3
800602,109445,Payment issue,Resolved,
800603,126973,Refund request,Resolved,4
800604,112542,Refund request,Resolved,
800605,141408,Payment issue,Resolved,
800606,107908,Wrong item,Open,5
800607,103284,Wrong item,Escalated,
800608,138903,Refund request,Resolved,3
800609,119003,Refund request,Resolved,
800610,101943,Missing item,Resolved,4
800611,135000,Refund request,Open,4
800612,132071,Refund request,Resolved,
800613,109164,Delivery delay,Resolved,2
800614,123598,Refund request,Resolved,2
800615,141709,Refund request,Resolved,1
800616,129575,Delivery delay,Resolved,5
800617,139954,Damaged item,Resolved,2
800618,112660,App issue,Resolved,3
800619,112087,Missing item,Resolved,2
800620,105628,Refund request,Escalated,2
800621,119417,Missing item,Resolved,2
800622,117228,Missing item,Resolved,
800623,114926,Refund request,Open,1
800624,113584,Missing item,Open,4
800625,130212,Wrong item,Resolved,1
800626,108741,Payment issue,Resolved,
800627,105013,App issue,Resolved,1
800628,123449,Delivery delay,Resolved,2
800629,139690,Delivery delay,Resolved,
800630,132450,Missing item,Resolved,
800631,118205,Delivery delay,Resolved,3
800632,136585,Delivery delay,Resolved,3
800633,103367,Wrong item,Resolved,
800634,115144,Delivery delay,Resolved,1
800635,132548,App issue,Resolved,2
800636,141937,Delivery delay,Resolved,2
800637,135737,Delivery delay,Resolved,
800638,113203,Delivery delay,Resolved,3
800639,110733,Damaged item,Resolved,1
800640,119031,Payment issue,Resolved,
800641,140492,Delivery delay,Escalated,2
800642,124853,Delivery delay,Resolved,2
800643,131535,Missing item,Resolved,
800644,132716,Refund request,Open,
800645,103514,Missing item,Open,5
800646,123513,Delivery delay,Resolved,3
800647,100965,Missing item,Resolved,4
800648,130460,App issue,Resolved,
800649,135575,Missing item,Resolved,
800650,139940,Wrong item,Resolved,
800651,135004,Delivery delay,Resolved,1
800652,121256,Missing item,Resolved,
800653,113145,App issue,Resolved,4
800654,128288,Refund request,Resolved,
800655,141791,App issue,Resolved,4
800656,115779,Delivery delay,Resolved,1
800657,137186,Delivery delay,Resolved,3
800658,130601,Damaged item,Escalated,
800659,123685,Refund request,Open,3
800660,114276,Damaged item,Resolved,4
800661,139749,Refund request,Resolved,5
800662,118147,Wrong item,Open,4
800663,108341,App issue,Resolved,1
800664,134327,Refund request,Resolved,1
800665,108440,Delivery delay,Open,2
800666,127343,Refund request,Escalated,4
800667,121200,Payment issue,Resolved,1
800668,117833,Refund request,Resolved,5
800669,127042,Delivery delay,Resolved,3
800670,109623,Delivery delay,Resolved,4
800671,138142,Missing item,Resolved,
800672,115666,Wrong item,Resolved,
800673,103389,Payment issue,Resolved,5
800674,132010,Wrong item,Resolved,1
800675,108318,App issue,Resolved,
800676,101590,Delivery delay,Resolved,1
800677,114560,Refund request,Open,3
800678,125518,Missing item,Resolved,4
800679,120815,Payment issue,Open,3
800680,125547,App issue,Open,2
800681,133800,Wrong item,Resolved,2
800682,100954,App issue,Resolved,2
800683,129457,Wrong item,Resolved,1
800684,101534,Delivery delay,Resolved,3
800685,121901,Delivery delay,Resolved,1
800686,139633,Wrong item,Resolved,
800687,100904,Refund request,Resolved,
800688,125861,Damaged item,Resolved,
800689,119562,Missing item,Resolved,2
800690,110240,Delivery delay,Resolved,
800691,111553,Delivery delay,Open,5
800692,120593,Delivery delay,Escalated,
800693,113884,App issue,Resolved,2
800694,104340,Delivery delay,Resolved,2
800695,101053,Delivery delay,Resolved,1
800696,112543,App issue,Resolved,3
800697,129196,Refund request,Resolved,4
800698,105109,Refund request,Resolved,
800699,122015,Missing item,Resolved,5
800700,139462,Delivery delay,Resolved,5
800701,120624,Refund request,Resolved,
800702,111244,App issue,Resolved,5
800703,137019,Wrong item,Resolved,1
800704,102048,App issue,Resolved,3
800705,103100,Damaged item,Resolved,
800706,106032,App issue,Resolved,2
800707,123603,Missing item,Resolved,3
800708,139125,Refund request,Escalated,1
800709,128671,App issue,Open,3
800710,138501,Refund request,Resolved,4
800711,136558,Refund request,Resolved,2
800712,121607,Delivery delay,Resolved,3
800713,133420,Wrong item,Open,
800714,113264,Damaged item,Resolved,
800715,108320,Refund request,Resolved,1
800716,134654,Delivery delay,Resolved,
800717,115744,Payment issue,Resolved,4
800718,103152,Refund request,Resolved,4
800719,141962,Missing item,Resolved,5
800720,129248,Missing item,Open,5
800721,107971,Delivery delay,Resolved,1
800722,126430,App issue,Resolved,2
800723,135669,Refund request,Resolved,
800724,112002,Missing item,Resolved,
800725,122740,Refund request,Open,1
800726,116716,Damaged item,Escalated,2
800727,103886,Payment issue,Resolved,
800728,111488,App issue,Open,4
800729,119027,Delivery delay,Resolved,5
800730,133185,Delivery delay,Open,3
800731,101501,Payment issue,Resolved,5
800732,124665,Delivery delay,Resolved,1
800733,111206,Delivery delay,Resolved,
800734,133973,Damaged item,Resolved,2
800735,114353,Delivery delay,Open,
800736,120875,App issue,Resolved,5
800737,128795,Wrong item,Resolved,5
800738,129407,Payment issue,Resolved,4
800739,137677,Missing item,Resolved,2
800740,106758,App issue,Resolved,1
800741,110199,Delivery delay,Resolved,2
800742,130398,Damaged item,Escalated,3
800743,116559,Refund request,Resolved,4
800744,120373,Missing item,Resolved,5
800745,111851,Missing item,Resolved,5
800746,134153,Wrong item,Open,1
800747,136793,Damaged item,Resolved,2
800748,130461,Payment issue,Resolved,5
800749,107077,Refund request,Resolved,2
800750,109863,Wrong item,Escalated,1
800751,104149,Refund request,Resolved,3
800752,100846,Delivery delay,Open,
800753,136816,Refund request,Resolved,1
800754,131979,Damaged item,Open,1
800755,109403,Refund request,Resolved,4
800756,132599,Wrong item,Open,1
800757,106588,App issue,Resolved,
800758,107682,Refund request,Open,1
800759,113682,Damaged item,Resolved,3
800760,111371,Delivery delay,Resolved,
800761,140104,Missing item,Resolved,3
800762,101186,Payment issue,Open,1
800763,131881,Refund request,Resolved,2
800764,125070,Damaged item,Open,1
800765,108936,Delivery delay,Resolved,2
800766,109761,Delivery delay,Escalated,5
