delivery_id,order_id,dark_store_id,delivery_type,delivery_time_min,late_delivery_flag
700149,100149,5,Bike,29.8,1
700150,100150,6,Bike,14.2,0
700151,100151,22,Bike,16.4,0
700152,100152,14,Ev,36.5,1
700153,100153,22,Ev,19,0
700154,100154,29,Cycle,15.4,0
700155,100155,9,Cycle,24.8,0
700156,100156,,Cycle,24.8,0
700157,100157,14,Bike,18.8,0
700158,100158,17,Bike,17.3,0
700159,100159,12,Ev,10.7,0
700160,100160,25,Bike,19.1,0
700161,100161,8,Bike,32.5,1
700162,100162,26,Ev,12.5,0
700163,100163,16,Bike,8.6,0
700164,100164,1,Bike,10.7,0
700165,100165,5,Bike,14.4,0
700166,100166,23,Bike,13.8,0
700167,100167,25,Bike,16.8,0
700168,100168,24,Bike,12,0
700169,100169,14,Bike,15.3,0
700170,100170,18,Bike,21.9,0
700171,100171,2,Bike,13.1,0
700172,100172,30,Bike,27.6,1
700173,100173,10,Cycle,17.4,0
700174,100174,17,Bike,9.3,0
700175,100175,8,Ev,9.8,0
700176,100176,16,Bike,26,1
700177,100177,11,Cycle,13.5,0
700178,100178,17,Bike,14.8,0
700179,100179,19,Bike,12,0
700180,100180,1,Bike,17.7,0
700181,100181,29,Bike,25.2,1
700182,100182,7,Bike,22.2,0
700183,100183,6,Bike,8.5,0
700184,100184,1,Ev,14.9,0
700185,100185,27,Bike,17.4,0
700186,100186,11,Bike,8.7,0
700187,100187,10,Ev,28.6,1
700188,100188,25,Bike,20.6,0
700189,100189,13,Ev,20.6,0
700190,100190,20,Ev,17.1,0
700191,100191,2,Cycle,18,0
700192,100192,4,Bike,29.4,1
700193,100193,18,Ev,16.3,0
700194,100194,11,Bike,16.4,0
700195,100195,22,Ev,14.8,0
700196,100196,5,Bike,29.2,1
700197,100197,8,Cycle,21,0
700198,100198,28,Ev,13.1,0
700199,100199,2,Bike,19.6,0
700200,100200,3,Bike,22.1,0
700201,100201,25,Ev,29.9,1
700202,100202,8,Ev,20.4,0
700203,100203,26,Bike,24.5,0
700204,100204,1,Bike,12.5,0
700205,100205,22,Ev,20.3,0
700206,100206,8,Bike,20.9,0
700207,100207,18,Ev,20.5,0
700208,100208,5,Bike,18.8,0
700209,100209,27,Bike,14.1,0
700210,100210,6,Bike,7.5,0
700211,100211,11,Bike,13.2,0
700212,100212,11,Bike,22.1,0
700213,100213,5,Cycle,21.3,0
700214,100214,1,Bike,30.4,1
700215,100215,18,Bike,23.2,0
700216,100216,23,Bike,22.8,0
700217,100217,7,Ev,18.1,0
700218,100218,12,Bike,14.3,0
700219,100219,18,Bike,12.7,0
700220,100220,8,Bike,21.3,0
700221,100221,15,Bike,20.9,0
700222,100222,14,Bike,19.7,0
700223,100223,2,Bike,22.2,0
700224,100224,7,Bike,22.2,0
700225,100225,11,Bike,13.4,0
700226,100226,15,Ev,9.9,0
700227,100227,19,Bike,7.9,0
700228,100228,29,Bike,8.7,0
700229,100229,6,Bike,11,0
700230,100230,16,Bike,19.5,0
700231,100231,16,Ev,10,0
700232,100232,9,Bike,12.2,0
700233,100233,25,Bike,12.1,0
700234,100234,7,Ev,16.8,0
700235,100235,25,Cycle,33.3,1
700236,100236,28,Bike,17.4,0
700237,100237,10,Ev,16.3,0
700238,100238,20,Bike,9.3,0
700239,100239,28,Bike,20.1,0
700240,100240,21,Bike,14.9,0
700241,100241,12,Bike,17.4,0
700242,100242,3,Bike,19.7,0
700243,100243,4,Bike,12.2,0
700244,100244,25,Bike,11.9,0
700245,100245,10,Bike,17.2,0
700246,100246,27,Bike,17.1,0
700247,100247,9,Bike,13.4,0
700248,100248,21,Bike,9.7,0
700249,100249,10,Bike,18.1,0
700250,100250,5,Bike,24.1,0
700251,100251,14,Bike,31.8,1
700252,100252,7,Ev,16.4,0
700253,100253,11,Ev,10.6,0
700254,100254,7,Bike,22.1,0
700255,100255,25,Bike,9.5,0
700256,100256,27,Cycle,17.2,0
700257,100257,13,Bike,15.4,0
700258,100258,22,Bike,16.8,0
700259,100259,28,Bike,21,0
700260,100260,25,Bike,19.3,0
700261,100261,29,Bike,15.2,0
700262,100262,29,Bike,12.9,0
700263,100263,21,Bike,16.5,0
700264,100264,24,Cycle,8.9,0
700265,100265,27,Bike,11.7,0
700266,100266,16,Bike,21.5,0
700267,100267,28,Bike,17.1,0
700268,100268,12,Ev,15.7,0
700269,100269,8,Ev,18.5,0
700270,100270,26,Bike,15,0
700271,100271,30,Bike,24.3,0
700272,100272,20,Ev,22.5,0
700273,100273,5,Bike,21,0
700274,100274,6,Cycle,13.2,0
700275,100275,3,Bike,11.3,0
700276,100276,7,Bike,18.2,0
700277,100277,24,Cycle,12.5,0
700278,100278,3,Cycle,25.1,1
700279,100279,21,Ev,14.8,0
700280,100280,28,Bike,16.5,0
700281,100281,19,Cycle,9.5,0
700282,100282,8,Bike,9.8,0
700283,100283,20,Bike,35.1,1
700284,100284,29,Bike,19.2,0
700285,100285,21,Ev,20.9,0
700286,100286,12,Bike,14.2,0
700287,100287,,Ev,29.7,1
700288,100288,19,Cycle,12.7,0
700289,100289,23,Bike,22.8,0
700290,100290,19,Bike,21.9,0
700291,100291,29,Bike,27.7,1
700292,100292,23,Bike,18.5,0
700293,100293,9,Bike,18.8,0
700294,100294,25,Bike,16.2,0
700295,100295,2,Bike,18.9,0
700296,100296,14,Bike,20.5,0
700297,100297,29,Bike,16.1,0
700298,100298,7,Bike,18.3,0
700299,100299,5,Ev,11.4,0
700300,100300,16,Bike,22.4,0
700301,100301,29,Bike,20.4,0
700302,100302,17,Bike,24.4,0
700303,100303,21,Bike,8.5,0
700304,100304,29,Bike,23,0
700305,100305,9,Bike,10,0
700306,100306,18,Bike,17.7,0
700307,100307,14,Bike,14.1,0
700308,100308,26,Bike,21.6,0
700309,100309,1,Bike,18.1,0
700310,100310,29,Bike,33.2,1
700311,100311,18,Ev,16.9,0
700312,100312,1,Bike,24.4,0
700313,100313,10,Bike,14.3,0
700314,100314,28,Cycle,15.3,0
700315,100315,25,Bike,21,0
700316,100316,26,Ev,14.9,0
700317,100317,28,Ev,16.1,0
700318,100318,1,Bike,18.3,0
700319,100319,19,Bike,10.6,0
700320,100320,18,Bike,18.4,0
700321,100321,26,Bike,29.2,1
700322,100322,7,Ev,16.4,0
700323,100323,6,Bike,20,0
700324,100324,2,Bike,11.8,0
700325,100325,15,Bike,19.3,0
700326,100326,20,Bike,18.6,0
700327,100327,15,Ev,17.2,0
700328,100328,8,Bike,28.1,1
700329,100329,19,Bike,17.2,0
700330,100330,17,Bike,20.5,0
700331,100331,23,Bike,12.5,0
700332,100332,19,Bike,21.7,0
700333,100333,26,Ev,15.9,0
700334,100334,3,Ev,12.5,0
700335,100335,3,Bike,21.3,0
700336,100336,21,Ev,22.2,0
700337,100337,4,Ev,9.7,0
700338,100338,30,Ev,21,0
700339,100339,18,Bike,37.6,1
700340,100340,7,Cycle,29.6,1
700341,100341,17,Bike,22.7,0
700342,100342,4,Bike,10,0
700343,100343,23,Bike,19.6,0
700344,100344,26,Bike,17.5,0
700345,100345,25,Ev,14,0
700346,100346,22,Bike,19.4,0
700347,100347,3,Ev,11.2,0
700348,100348,24,Bike,18.7,0
700349,100349,18,Ev,19.6,0
700350,100350,4,Bike,28.3,1
700351,100351,6,Ev,18.2,0
700352,100352,22,Cycle,17.5,0
700353,100353,7,Ev,19.9,0
700354,100354,9,Bike,23.8,0
700355,100355,24,Bike,11.1,0
700356,100356,21,Cycle,27.3,1
700357,100357,27,Ev,21.4,0
700358,100358,3,Bike,29.5,1
700359,100359,18,Bike,19.2,0
700360,100360,19,Bike,24.1,0
700361,100361,14,Cycle,15.5,0
700362,100362,18,Bike,22.1,0
700363,100363,18,Bike,10.7,0
700364,100364,4,Bike,21.1,0
700365,100365,7,Bike,11.1,0
700366,100366,25,Ev,11.2,0
700367,100367,22,Cycle,22.3,0
700368,100368,12,Bike,10.7,0
700369,100369,20,Bike,24.1,0
700370,100370,17,Ev,26,1
700371,100371,29,Bike,28.3,1
700372,100372,30,Bike,31.7,1
700373,100373,25,Bike,26.8,1
700374,100374,28,Bike,17.4,0
700375,100375,14,Bike,22.7,0
700376,100376,2,Bike,8.1,0
700377,100377,21,Ev,21.4,0
700378,100378,28,Bike,29,1
700379,100379,17,Bike,22.4,0
700380,100380,13,Ev,18,0
700381,100381,23,Cycle,22.3,0
700382,100382,8,Bike,22.2,0
700383,100383,5,Ev,27,1
700384,100384,16,Bike,10.5,0
700385,100385,29,Bike,8.2,0
700386,100386,3,Bike,11.8,0
700387,100387,3,Bike,20.8,0
700388,100388,9,Ev,11.5,0
700389,100389,9,Bike,19.2,0
700390,100390,29,Bike,20.2,0
700391,100391,19,Cycle,24.6,0
700392,100392,5,Bike,18.4,0
700393,100393,9,Bike,13.8,0
700394,100394,6,Bike,33.3,1
700395,100395,24,Bike,12.1,0
700396,100396,26,Ev,18.3,0
700397,100397,20,Ev,12.9,0
700398,100398,19,Bike,10.9,0
700399,100399,29,Bike,15,0
700400,100400,8,Bike,20.7,0
700401,100401,18,Bike,26.9,1
700402,100402,21,Bike,24,0
700403,100403,13,Ev,19.2,0
700404,100404,7,Bike,14.4,0
700405,100405,17,Cycle,9.2,0
700406,100406,,Ev,14.9,0
700407,100407,17,Bike,26.4,1
700408,100408,21,Bike,17.3,0
700409,100409,23,Bike,17.2,0
700410,100410,6,Bike,11.8,0
700411,100411,22,Bike,19.3,0
700412,100412,20,Cycle,20.3,0
700413,100413,12,Bike,26.1,1
700414,100414,17,Bike,20.9,0
700415,100415,28,Ev,21.5,0
700416,100416,28,Bike,36.6,1
700417,100417,4,Ev,8.8,0
700418,100418,14,Bike,9.7,0
700419,100419,1,Bike,20.3,0
700420,100420,12,Bike,30.2,1
700421,100421,10,Bike,8.6,0
700422,100422,15,Bike,20.1,0
700423,100423,3,Bike,25.9,1
700424,100424,17,Ev,8.6,0
700425,100425,23,Bike,21.7,0
700426,100426,9,Ev,12.4,0
700427,100427,15,Bike,27.7,1
700428,100428,26,Bike,21.1,0
700429,100429,2,Bike,28.8,1
700430,100430,14,Ev,17.7,0
700431,100431,19,Bike,27.7,1
700432,100432,14,Bike,24.3,0
700433,100433,25,Ev,15.3,0
700434,100434,4,Bike,17.7,0
700435,100435,20,Bike,14.4,0
700436,100436,25,Bike,14.2,0
700437,100437,6,Bike,19.7,0
700438,100438,9,Ev,22.1,0
700439,100439,28,Bike,16.3,0
700440,100440,12,Ev,18.3,0
700441,100441,8,Bike,18.1,0
700442,100442,13,Bike,20.9,0
700443,100443,15,Bike,22.8,0
700444,100444,21,Cycle,15.3,0
700445,100445,12,Ev,7.5,0
700446,100446,9,Bike,22.2,0
700447,100447,12,Bike,15.1,0
700448,100448,27,Bike,13.5,0
700449,100449,5,Bike,16.8,0
700450,100450,5,Bike,15.9,0
700451,100451,9,Bike,17.4,0
700452,100452,29,Bike,13.3,0
700453,100453,3,Bike,21.2,0
700454,100454,25,Cycle,22.3,0
700455,100455,6,Ev,13.6,0
700456,100456,18,Ev,13.5,0
700457,100457,17,Bike,9.8,0
700458,100458,23,Bike,18,0
700459,100459,4,Bike,14.7,0
700460,100460,4,Bike,10.8,0
700461,100461,28,Cycle,29.8,1
700462,100462,28,Ev,16.4,0
700463,100463,10,Bike,13,0
700464,100464,18,Bike,20.6,0
700465,100465,12,Ev,12.1,0
700466,100466,21,Bike,14.5,0
700467,100467,6,Ev,16.2,0
700468,100468,11,Ev,7.1,0
700469,100469,28,Bike,18,0
700470,100470,13,Bike,12.2,0
700471,100471,17,Bike,20.6,0
700472,100472,29,Ev,13.3,0
700473,100473,9,Bike,22.8,0
700474,100474,13,Bike,10.1,0
700475,100475,14,Bike,11.8,0
700476,100476,14,Bike,16.7,0
700477,100477,3,Bike,13.8,0
700478,100478,13,Ev,19.6,0
700479,100479,22,Bike,15.3,0
700480,100480,6,Bike,16.9,0
700481,100481,2,Bike,16.3,0
700482,100482,22,Bike,31,1
700483,100483,16,Bike,26.2,1
700484,100484,25,Bike,23.5,0
700485,100485,23,Bike,28.3,1
700486,100486,13,Cycle,9,0
700487,100487,10,Ev,8.7,0
700488,100488,21,Bike,16.1,0
700489,100489,15,Bike,8.2,0
700490,100490,30,Bike,20.6,0
700491,100491,18,Bike,22.6,0
700492,100492,18,Bike,13.1,0
700493,100493,15,Bike,14.8,0
700494,100494,12,Ev,15,0
700495,100495,21,Bike,9.8,0
700496,100496,14,Ev,24.6,0
700497,100497,24,Bike,21.9,0
700498,100498,2,Bike,12.3,0
700499,100499,30,Bike,15.5,0
700500,100500,30,Cycle,10.2,0
700501,100501,1,Ev,16.9,0
700502,100502,14,Bike,13.3,0
700503,100503,7,Bike,25.2,1
700504,100504,1,Ev,15.7,0
700505,100505,12,Cycle,14.9,0
700506,100506,17,Bike,22,0
700507,100507,15,Bike,20.1,0
700508,100508,11,Ev,14.6,0
700509,100509,19,Bike,22.9,0
700510,100510,1,Bike,17,0
700511,100511,6,Bike,22.4,0
700512,100512,29,Ev,7.7,0
700513,100513,29,Bike,13.8,0
700514,100514,4,Bike,28.3,1
700515,100515,3,Bike,25.8,1
700516,100516,26,Ev,18.1,0
700517,100517,5,Ev,10.9,0
700518,100518,28,Bike,11.2,0
700519,100519,14,Ev,19.9,0
700520,100520,21,Bike,11.1,0
700521,100521,9,Bike,7.5,0
700522,100522,6,Ev,23.2,0
700523,100523,7,Bike,14.2,0
700524,100524,13,Bike,14.4,0
700525,100525,4,Ev,18.5,0
700526,100526,19,Ev,22.5,0
700527,100527,5,Bike,13.6,0
700528,100528,18,Bike,7.5,0
700529,100529,2,Bike,12.9,0
700530,100530,22,Bike,33.2,1
700531,100531,9,Ev,16.3,0
700532,100532,21,Bike,37.6,1
700533,100533,28,Bike,15.2,0
700534,100534,5,Bike,25.9,1
700535,100535,20,Ev,25.3,1
700536,100536,2,Bike,22.9,0
700537,100537,25,Ev,19.4,0
700538,100538,16,Bike,18.7,0
700539,100539,14,Cycle,21.3,0
700540,100540,16,Bike,15.1,0
700541,100541,27,Bike,23.1,0
700542,100542,26,Cycle,14,0
700543,100543,9,Ev,7.8,0
700544,100544,23,Bike,8.2,0
700545,100545,23,Ev,17.1,0
700546,100546,29,Bike,28.4,1
700547,100547,13,Bike,13.2,0
700548,100548,26,Bike,23.1,0
700549,100549,21,Bike,8.1,0
700550,100550,1,Bike,13.1,0
700551,100551,6,Bike,21.4,0
700552,100552,3,Bike,23.5,0
700553,100553,27,Ev,15.7,0
700554,100554,18,Ev,21.4,0
700555,100555,23,Bike,13.7,0
700556,100556,11,Bike,13.3,0
700557,100557,6,Bike,25.1,1
700558,100558,29,Bike,26.1,1
700559,100559,9,Bike,14.9,0
700560,100560,22,Bike,23.7,0
700561,100561,13,Bike,21.9,0
700562,100562,30,Ev,19.4,0
700563,100563,28,Bike,14.6,0
700564,100564,4,Bike,12.4,0
700565,100565,3,Bike,22.1,0
700566,100566,3,Bike,11.3,0
700567,100567,13,Bike,15.2,0
700568,100568,12,Bike,24.9,0
700569,100569,3,Bike,21.2,0
700570,100570,15,Bike,15.3,0
700571,100571,1,Ev,25.2,1
700572,100572,2,Bike,25.1,1
700573,100573,30,Bike,22.5,0
700574,100574,28,Bike,13.8,0
700575,100575,22,Ev,14.2,0
700576,100576,10,Ev,11.3,0
700577,100577,25,Cycle,12,0
700578,100578,12,Bike,21.2,0
700579,100579,11,Bike,12.5,0
700580,100580,2,Bike,24.9,0
700581,100581,7,Bike,18.5,0
700582,100582,1,Bike,29.6,1
700583,100583,14,Ev,13.8,0
700584,100584,13,Ev,14.1,0
700585,100585,28,Bike,10,0
700586,100586,29,Bike,9.7,0
700587,100587,14,Bike,27.8,1
700588,100588,12,Bike,15.9,0
700589,100589,26,Bike,12,0
700590,100590,25,Bike,26.6,1
700591,100591,12,Bike,25.1,1
700592,100592,26,Bike,27.5,1
700593,100593,19,Bike,26,1
700594,100594,15,Ev,23.6,0
700595,100595,2,Bike,28.4,1
700596,100596,16,Ev,20.1,0
700597,100597,6,Bike,24.1,0
700598,100598,28,Ev,22.2,0
700599,100599,5,Cycle,10.5,0
700600,100600,24,Ev,22.7,0
700601,100601,12,Ev,18.4,0
700602,100602,7,Bike,17.2,0
700603,100603,3,Bike,26.8,1
700604,100604,7,Bike,19.3,0
700605,100605,7,Bike,19.4,0
700606,100606,2,Cycle,19.7,0
700607,100607,20,Bike,18.2,0
700608,100608,19,Bike,21.6,0
700609,100609,16,Ev,15.5,0
700610,100610,20,Bike,11.6,0
700611,100611,26,Ev,14.4,0
700612,100612,11,Ev,17.6,0
700613,100613,15,Bike,22.9,0
700614,100614,7,Bike,17.2,0
700615,100615,5,Bike,16.7,0
700616,100616,16,Bike,8.2,0
700617,100617,22,Bike,18.2,0
700618,100618,11,Bike,24.4,0
700619,100619,29,Bike,14.6,0
700620,100620,20,Bike,18.9,0
700621,100621,2,Bike,26.6,1
700622,100622,26,Cycle,15.8,0
700623,100623,1,Bike,12,0
700624,100624,26,Bike,20.4,0
700625,100625,8,Cycle,21,0
700626,100626,10,Cycle,15.7,0
700627,100627,17,Bike,19.6,0
700628,100628,16,Bike,11,0
700629,100629,6,Bike,13,0
700630,100630,29,Bike,15.8,0
700631,100631,18,Bike,15.2,0
700632,100632,22,Bike,14.5,0
700633,100633,18,Ev,21,0
700634,100634,6,Bike,16.6,0
700635,100635,14,Bike,21,0
700636,100636,20,Ev,18.5,0
700637,100637,25,Ev,21.7,0
700638,100638,29,Cycle,34.9,1
700639,100639,13,Bike,16.1,0
700640,100640,29,Bike,14,0
700641,100641,7,Bike,18.4,0
700642,100642,29,Bike,11.2,0
700643,100643,16,Ev,13,0
700644,100644,5,Ev,11.7,0
700645,100645,7,Bike,16.7,0
700646,100646,14,Bike,20,0
700647,100647,22,Bike,18.1,0
700648,100648,28,Bike,22.2,0
700649,100649,6,Bike,19.7,0
700650,100650,26,Bike,28.4,1
700651,100651,23,Cycle,23.8,0
700652,100652,7,Ev,26.7,1
700653,100653,22,Ev,15.6,0
700654,100654,5,Bike,19.1,0
700655,100655,16,Bike,14.9,0
700656,100656,21,Cycle,14.9,0
700657,100657,23,Bike,24.8,0
700658,100658,15,Bike,10.3,0
700659,100659,5,Ev,22.8,0
700660,100660,12,Bike,15.4,0
700661,100661,17,Ev,12.6,0
700662,100662,24,Ev,28.8,1
700663,100663,11,Bike,22.4,0
700664,100664,13,Bike,11.3,0
700665,100665,12,Bike,13.7,0
700666,100666,7,Bike,23.6,0
700667,100667,15,Bike,18.1,0
700668,100668,19,Ev,17.1,0
700669,100669,10,Bike,21.9,0
700670,100670,28,Bike,8.9,0
700671,100671,27,Bike,17.7,0
700672,100672,13,Ev,13.7,0
700673,100673,9,Bike,13.6,0
700674,100674,10,Bike,23.8,0
700675,100675,16,Bike,22.6,0
700676,100676,16,Bike,35.2,1
700677,100677,1,Ev,17.8,0
700678,100678,11,Ev,15.8,0
700679,100679,20,Bike,13.7,0
700680,100680,27,Bike,25,0
700681,100681,16,Bike,22.1,0
700682,100682,29,Cycle,10.5,0
700683,100683,22,Bike,16.8,0
700684,100684,7,Bike,18.4,0
700685,100685,20,Bike,20.3,0
700686,100686,13,Bike,9.8,0
700687,100687,6,Ev,7.1,0
700688,100688,10,Ev,20.9,0
700689,100689,2,Bike,25.1,1
700690,100690,27,Bike,26.6,1
700691,100691,19,Bike,14.8,0
700692,100692,22,Bike,16.6,0
700693,100693,8,Bike,10.3,0
700694,100694,16,Ev,18.8,0
700695,100695,8,Bike,12.6,0
700696,100696,20,Bike,18.1,0
700697,100697,24,Bike,19.1,0
700698,100698,5,Cycle,23.8,0
700699,100699,25,Bike,14.2,0
700700,100700,15,Bike,28.4,1
700701,100701,25,Ev,12.6,0
700702,100702,27,Bike,9.6,0
700703,100703,6,Bike,26.5,1
700704,100704,6,Bike,21.2,0
700705,100705,20,Ev,16.9,0
700706,100706,19,Bike,21.3,0
700707,100707,4,Ev,21.4,0
700708,100708,4,Bike,23.9,0
700709,100709,23,Bike,21.5,0
700710,100710,30,Bike,12.7,0
700711,100711,20,Ev,24.5,0
700712,100712,28,Bike,11.8,0
700713,100713,7,Cycle,17.6,0
700714,100714,16,Bike,22.8,0
700715,100715,1,Bike,7.5,0
700716,100716,1,Bike,18.6,0
700717,100717,17,Bike,24.5,0
700718,100718,4,Bike,20.1,0
700719,100719,19,Ev,18.4,0
700720,100720,17,Ev,16.6,0
700721,100721,25,Bike,19.7,0
700722,100722,26,Ev,20.4,0
700723,100723,1,Bike,28.6,1
700724,100724,16,Ev,19,0
700725,100725,23,Bike,31.1,1
700726,100726,1,Bike,10.5,0
700727,100727,28,Ev,21.8,0
700728,100728,23,Bike,16.6,0
700729,100729,18,Cycle,26.7,1
700730,100730,20,Ev,7.1,0
700731,100731,20,Bike,14.8,0
700732,100732,28,Ev,19.2,0
700733,100733,20,Bike,7.9,0
700734,100734,20,Bike,18.5,0
700735,100735,27,Bike,15.7,0
700736,100736,12,Bike,18.6,0
700737,100737,23,Ev,22.6,0
700738,100738,3,Ev,21.7,0
700739,100739,4,Bike,26,1
700740,100740,13,Bike,13.1,0
700741,100741,17,Bike,23.1,0
700742,100742,4,Bike,25.7,1
700743,100743,20,Bike,16.5,0
700744,100744,26,Bike,16.6,0
700745,100745,14,Bike,21,0
700746,100746,26,Ev,26,1
700747,100747,20,Bike,18,0
700748,100748,22,Bike,9.5,0
700749,100749,21,Cycle,13.9,0
700750,100750,6,Ev,13.5,0
700751,100751,26,Bike,16.9,0
700752,100752,27,Bike,22.4,0
700753,100753,9,Ev,9.8,0
700754,100754,3,Bike,10,0
700755,100755,17,Bike,25.5,1
700756,100756,27,Cycle,19.8,0
700757,100757,25,Bike,27.8,1
700758,100758,26,Ev,22.6,0
700759,100759,15,Bike,21.9,0
700760,100760,14,Bike,23.2,0
700761,100761,22,Ev,12.2,0
700762,100762,14,Bike,13.4,0
700763,100763,23,Bike,19.7,0
700764,100764,18,Bike,27.4,1
700765,100765,9,Ev,8.5,0
700766,100766,2,Bike,23.5,0
700767,100767,30,Bike,33.7,1
700768,100768,10,Ev,18.8,0
700769,100769,5,Ev,20.4,0
700770,100770,5,Bike,12.7,0
700771,100771,30,Bike,21.1,0
700772,100772,22,Bike,20.9,0
700773,100773,20,Ev,17.5,0
700774,100774,16,Bike,25.1,1
700775,100775,26,Bike,26.8,1
700776,100776,13,Bike,28,1
700777,100777,3,Bike,20.4,0
