return_id,order_id,return_reason,refund_amount,return_status
900080,108243,Late delivery,474.61,Rejected
900081,124123,Wrong item,597.96,Approved
900082,113546,Quality issue,483.11,Approved
900083,104540,Changed mind,398.85,Approved
900084,119579,Quality issue,355.48,Approved
900085,104162,Late delivery,496.45,Approved
900086,132515,Missing item,352.75,Approved
900087,140375,Missing item,411.45,Approved
900088,124071,Wrong item,346.86,Rejected
900089,117694,Missing item,187.68,Approved
900090,124920,Late delivery,294.58,Rejected
900091,101205,Missing item,569.62,Approved
900092,137901,Quality issue,413.78,Approved
900093,118734,Damaged item,96.54,Approved
900094,111845,Late delivery,541.28,Approved
900095,138515,Late delivery,194.59,Approved
900096,140402,Missing item,535.65,Approved
900097,133686,Changed mind,107.05,Approved
900098,126012,Quality issue,521.22,Approved
900099,115206,Damaged item,429.87,Approved
900100,132000,Late delivery,484.16,Approved
900101,140839,Wrong item,581.42,Approved
900102,135652,Quality issue,411.15,Approved
900103,118044,Missing item,92.34,Approved
900104,113420,Missing item,233.88,Approved
900105,134981,Quality issue,327.81,Approved
900106,133910,Missing item,308.59,Approved
900107,117270,Late delivery,591.67,Approved
900108,138407,Missing item,79.95,Rejected
900109,112992,Quality issue,475.99,Approved
900110,103197,Missing item,462.64,Approved
900111,114951,Changed mind,354.95,Approved
900112,102538,Wrong item,192.82,Approved
900113,122641,Quality issue,413.84,Approved
900114,105920,Damaged item,353.08,Approved
900115,126328,Late delivery,240.14,Rejected
900116,130192,Missing item,115.71,Approved
900117,133724,Wrong item,589.25,Approved
900118,138640,Missing item,277.98,Approved
900119,116178,Quality issue,329.56,Approved
900120,120516,Quality issue,596.17,Approved
900121,110439,Damaged item,180.11,Approved
900122,118913,Late delivery,134.1,Approved
900123,122489,Late delivery,377.35,Approved
900124,113878,Late delivery,157.62,Rejected
900125,122068,Missing item,557.17,Approved
900126,110513,Missing item,439.42,Rejected
900127,121082,Quality issue,304.21,Approved
900128,126030,Changed mind,81.29,Approved
900129,113090,Late delivery,339.54,Approved
900130,137457,Quality issue,107.18,Approved
900131,106949,Quality issue,464.03,Approved
900132,107290,Damaged item,485.88,Approved
900133,138182,Late delivery,542.56,Approved
900134,111070,Late delivery,569.55,Approved
900135,114188,Damaged item,471.38,Approved
900136,131649,Late delivery,326.55,Approved
900137,136048,Late delivery,426.64,Approved
900138,134493,Damaged item,200.81,Approved
900139,115330,Missing item,451.97,Approved
900140,116918,Late delivery,102.5,Approved
900141,130171,Missing item,209.91,Approved
900142,124706,Damaged item,304.33,Approved
900143,124963,Changed mind,152.23,Approved
900144,123250,Late delivery,479.36,Approved
900145,124983,Late delivery,326.75,Rejected
900146,114968,Damaged item,161.78,Approved
900147,134153,Late delivery,173.83,Approved
900148,101543,Missing item,151.9,Rejected
900149,108504,Missing item,431.92,Approved
900150,109813,Missing item,112.56,Approved
900151,119245,Wrong item,311.19,Approved
900152,127139,Wrong item,499.49,Approved
900153,128412,Late delivery,77.57,Approved
900154,135221,Quality issue,251.31,Approved
900155,135259,Late delivery,506.28,Approved
900156,114560,Quality issue,581.77,Approved
900157,112454,Late delivery,593.64,Approved
900158,114612,Missing item,146.31,Approved
900159,137441,Quality issue,438.98,Approved
900160,141609,Late delivery,221.73,Approved
900161,134268,Late delivery,286.74,Approved
900162,115851,Missing item,213.06,Approved
900163,130215,Wrong item,148.71,Approved
900164,110093,Quality issue,336.79,Approved
900165,137007,Late delivery,558.58,Approved
900166,119267,Changed mind,502.98,Rejected
900167,122615,Damaged item,342.58,Approved
900168,116763,Missing item,171.66,Approved
900169,116063,Wrong item,338.83,Approved
900170,125064,Changed mind,82.33,Approved
900171,111830,Late delivery,448.77,Approved
900172,138499,Late delivery,85.39,Approved
900173,115827,Changed mind,462.17,Approved
900174,141893,Late delivery,177.73,Approved
900175,105742,Changed mind,402.11,Approved
900176,127289,Quality issue,82.91,Approved
900177,122121,Damaged item,511.35,Approved
900178,141296,Damaged item,308.77,Approved
900179,123148,Changed mind,141.8,Approved
900180,118764,Missing item,577.91,Approved
900181,111464,Missing item,145.93,Approved
900182,124893,Late delivery,240,Approved
900183,102065,Late delivery,43.04,Approved
900184,111885,Late delivery,365.77,Approved
900185,134581,Changed mind,321.4,Approved
900186,115724,Quality issue,209.67,Approved
900187,125583,Quality issue,134.77,Approved
900188,116913,Wrong item,371.98,Approved
900189,133374,Wrong item,515.88,Approved
900190,132909,Late delivery,495.33,Approved
900191,109547,Quality issue,230.49,Approved
900192,134667,Wrong item,139.8,Approved
900193,123493,Late delivery,279.86,Approved
900194,123320,Missing item,576.23,Rejected
900195,109555,Missing item,514.39,Approved
900196,115750,Quality issue,408.66,Approved
900197,114390,Wrong item,520.15,Approved
900198,127013,Damaged item,382.97,Approved
900199,110133,Changed mind,140.28,Approved
900200,118994,Late delivery,137.5,Approved
900201,111483,Changed mind,528.45,Approved
900202,106642,Late delivery,184.35,Approved
900203,111419,Damaged item,336.3,Approved
900204,129897,Missing item,371.92,Approved
900205,118005,Late delivery,561.03,Rejected
900206,126258,Damaged item,345.61,Approved
900207,128637,Missing item,570.53,Approved
900208,132067,Quality issue,78.81,Approved
900209,111493,Quality issue,327.76,Approved
900210,137873,Changed mind,47.97,Approved
900211,123089,Missing item,198.34,Approved
900212,105354,Quality issue,322.74,Approved
900213,138115,Damaged item,161.16,Approved
900214,109573,Wrong item,203.13,Approved
900215,130529,Missing item,285.88,Approved
900216,112436,Late delivery,426.15,Approved
900217,104609,Missing item,163.4,Approved
900218,128619,Damaged item,79.74,Approved
900219,113734,Damaged item,204.98,Approved
900220,115132,Damaged item,118.47,Approved
900221,111714,Quality issue,128.03,Approved
900222,136311,Quality issue,414.9,Approved
900223,110126,Damaged item,303.33,Approved
900224,115205,Missing item,126.18,Approved
900225,104224,Changed mind,403.7,Approved
900226,103320,Quality issue,415.11,Approved
900227,135059,Damaged item,305.4,Approved
900228,114429,Late delivery,539.77,Approved
900229,120604,Missing item,353.11,Approved
900230,141281,Damaged item,308.16,Approved
900231,108011,Late delivery,218.61,Approved
900232,108620,Wrong item,43.84,Approved
900233,129192,Late delivery,126.15,Approved
900234,126957,Quality issue,116.55,Approved
900235,116645,Changed mind,411.41,Approved
900236,102061,Quality issue,556,Approved
900237,116197,Late delivery,509.16,Approved
900238,102377,Damaged item,418.64,Approved
900239,104947,Late delivery,87.64,Approved
900240,141232,Late delivery,448.51,Approved
900241,113710,Wrong item,333.88,Approved
900242,140776,Wrong item,83.94,Approved
900243,115498,Damaged item,336.49,Rejected
900244,137533,Missing item,520.88,Approved
900245,136156,Late delivery,267.7,Approved
900246,102127,Quality issue,304.29,Approved
900247,115053,Late delivery,388.66,Approved
900248,114318,Changed mind,540.67,Approved
900249,138514,Late delivery,317.42,Approved
900250,139542,Wrong item,47.41,Approved
900251,138936,Damaged item,122.66,Approved
900252,121835,Missing item,291.01,Approved
900253,130623,Late delivery,297.69,Approved
900254,111565,Missing item,108.9,Approved
900255,103000,Late delivery,292.4,Approved
900256,134675,Missing item,538.68,Approved
900257,131472,Quality issue,393.06,Approved
900258,102529,Damaged item,260.77,Approved
900259,127001,Missing item,240.54,Approved
900260,137767,Late delivery,368.84,Approved
900261,104282,Changed mind,225.52,Approved
900262,127297,Late delivery,523.02,Approved
900263,119246,Quality issue,46.09,Approved
900264,106110,Changed mind,397.59,Approved
900265,108882,Quality issue,284.15,Approved
900266,101342,Late delivery,483.28,Approved
900267,112848,Changed mind,161.4,Approved
900268,105319,Damaged item,77.39,Approved
900269,106935,Late delivery,115.98,Approved
900270,119843,Late delivery,525.78,Approved
900271,131195,Quality issue,573.87,Approved
900272,102791,Late delivery,376.65,Approved
900273,138654,Changed mind,204.27,Approved
900274,139017,Damaged item,207.05,Approved
900275,108132,Late delivery,334.28,Approved
900276,123111,Wrong item,166.25,Approved
900277,139424,Damaged item,557.74,Approved
900278,117968,Late delivery,583.18,Approved
900279,133603,Wrong item,221.9,Approved
900280,107240,Quality issue,81.73,Approved
900281,112605,Quality issue,375.6,Approved
900282,124712,Quality issue,58.29,Approved
900283,122317,Late delivery,151.52,Approved
900284,110759,Quality issue,60.77,Approved
900285,136702,Missing item,256.42,Approved
900286,121187,Late delivery,190.6,Approved
900287,110025,Quality issue,377.12,Approved
900288,122887,Late delivery,150.04,Approved
900289,107571,Quality issue,129.53,Approved
900290,138602,Quality issue,489.87,Approved
900291,110982,Wrong item,463.97,Approved
900292,122954,Damaged item,280.32,Approved
900293,108443,Damaged item,131.03,Rejected
900294,123454,Late delivery,412.84,Approved
900295,114042,Missing item,268.01,Approved
900296,105892,Quality issue,565.78,Approved
900297,114849,Wrong item,527.14,Approved
900298,120503,Wrong item,96.07,Approved
900299,113657,Late delivery,281.83,Approved
900300,115576,Late delivery,214.92,Approved
900301,128132,Quality issue,151.2,Approved
900302,127715,Quality issue,491.87,Approved
900303,121613,Wrong item,493.86,Approved
900304,133359,Late delivery,125.99,Approved
900305,133977,Damaged item,106.3,Approved
900306,135168,Late delivery,557.7,Approved
900307,120553,Wrong item,272.74,Approved
900308,125526,Damaged item,371.8,Approved
900309,130354,Late delivery,246.41,Approved
900310,109134,Late delivery,457.38,Approved
900311,118628,Wrong item,527.5,Approved
900312,109337,Changed mind,137.12,Approved
900313,106159,Changed mind,493.16,Approved
900314,101132,Changed mind,156.41,Approved
900315,141902,Late delivery,145.78,Rejected
900316,121663,Damaged item,591.19,Approved
900317,112416,Wrong item,551.62,Approved
900318,109107,Wrong item,148.15,Approved
900319,138124,Late delivery,385.66,Approved
900320,108394,Damaged item,181.4,Approved
900321,122014,Quality issue,297.2,Approved
900322,132414,Late delivery,431.51,Rejected
900323,129474,Wrong item,484.73,Approved
900324,104861,Wrong item,47.92,Approved
900325,139714,Missing item,415.34,Approved
900326,111783,Damaged item,254.18,Approved
900327,130845,Damaged item,333.1,Approved
900328,138375,Quality issue,301.44,Approved
900329,116646,Changed mind,427.65,Approved
900330,133890,Changed mind,217.76,Approved
900331,137390,Wrong item,437.05,Approved
900332,106187,Damaged item,348.39,Approved
900333,122710,Late delivery,304.12,Approved
900334,118129,Late delivery,428.32,Approved
900335,113178,Quality issue,110.64,Approved
900336,119858,Wrong item,127.67,Approved
900337,115997,Quality issue,382.45,Approved
900338,109648,Damaged item,415.85,Approved
900339,129438,Wrong item,149.71,Approved
900340,108588,Late delivery,91.4,Approved
900341,103321,Wrong item,200.73,Approved
900342,140363,Changed mind,64.32,Approved
900343,114831,Damaged item,495.31,Approved
900344,115297,Late delivery,190.38,Approved
900345,133892,Changed mind,352.45,Approved
900346,129004,Changed mind,178.05,Approved
900347,127463,Changed mind,81.21,Approved
900348,123186,Damaged item,43.45,Approved
900349,127683,Damaged item,135.28,Rejected
900350,109056,Changed mind,552.02,Approved
900351,105133,Quality issue,67.4,Approved
900352,137791,Changed mind,499.28,Approved
900353,121211,Late delivery,529.43,Approved
900354,124840,Changed mind,497.24,Approved
900355,132254,Damaged item,328.2,Rejected
900356,123723,Late delivery,151.04,Approved
900357,127023,Missing item,370.7,Approved
900358,116836,Changed mind,240.99,Approved
900359,128947,Missing item,558.78,Approved
900360,111799,Damaged item,338.01,Rejected
900361,104557,Changed mind,303.91,Approved
900362,121958,Quality issue,247.58,Approved
900363,122563,Quality issue,340.49,Approved
900364,141826,Damaged item,72.48,Rejected
900365,111215,Wrong item,216.22,Approved
900366,125141,Wrong item,431.72,Approved
900367,113843,Missing item,507.86,Approved
900368,103736,Late delivery,277.05,Rejected
900369,132631,Quality issue,235.86,Rejected
900370,105657,Late delivery,285,Approved
900371,114998,Late delivery,407.69,Approved
900372,119848,Missing item,77.67,Approved
900373,129518,Quality issue,160.82,Approved
900374,119573,Quality issue,532.21,Approved
900375,112271,Quality issue,497.68,Approved
900376,120072,Missing item,359.21,Approved
900377,109417,Quality issue,260.11,Approved
900378,109302,Damaged item,474.76,Approved
900379,136095,Missing item,182.9,Approved
900380,117425,Wrong item,373.29,Approved
900381,137247,Wrong item,409.27,Approved
900382,100176,Missing item,272.64,Approved
900383,106713,Late delivery,50.54,Approved
900384,140189,Damaged item,182.55,Approved
900385,141484,Missing item,573.36,Approved
900386,135748,Quality issue,433.03,Approved
900387,101994,Wrong item,570.55,Approved
900388,118733,Damaged item,447.54,Approved
900389,111158,Damaged item,364.99,Approved
900390,133126,Quality issue,572.76,Approved
900391,141454,Wrong item,80.34,Approved
900392,139994,Late delivery,92.29,Approved
900393,135980,Late delivery,273.52,Approved
900394,111138,Late delivery,443.63,Approved
900395,107707,Late delivery,100.42,Approved
900396,114370,Late delivery,455.43,Approved
900397,117491,Damaged item,124.39,Approved
900398,103291,Late delivery,451.25,Approved
900399,137009,Late delivery,71.26,Approved
900400,135853,Wrong item,303.77,Approved
900401,106660,Late delivery,546.94,Approved
900402,112235,Quality issue,518.97,Approved
900403,112805,Late delivery,466.13,Approved
900404,123054,Missing item,464.73,Approved
900405,129054,Late delivery,432,Approved
900406,100325,Late delivery,500.27,Approved
900407,139724,Quality issue,253.45,Approved
900408,138905,Missing item,511.17,Approved
900409,105333,Missing item,126.23,Approved
900410,110585,Late delivery,456.16,Approved
900411,127162,Missing item,137.37,Approved
900412,112629,Late delivery,270.29,Approved
900413,103617,Changed mind,210.14,Approved
900414,104285,Late delivery,257.93,Approved
900415,132025,Missing item,302.53,Approved
900416,110674,Late delivery,204.04,Approved
900417,136076,Quality issue,63.98,Approved
900418,103696,Quality issue,532.91,Approved
900419,108808,Late delivery,314.1,Approved
900420,122537,Wrong item,289.19,Approved
900421,119372,Quality issue,570.25,Approved
900422,141249,Late delivery,556.94,Approved
900423,132160,Missing item,521.19,Approved
900424,116364,Changed mind,137.14,Approved
900425,110940,Changed mind,197.16,Approved
900426,119200,Quality issue,399.74,Rejected
900427,104289,Damaged item,527.36,Approved
900428,130587,Changed mind,367.64,Approved
900429,117220,Missing item,496.47,Approved
900430,141500,Missing item,387.85,Approved
900431,130556,Changed mind,586.37,Approved
900432,127890,Wrong item,563.26,Approved
900433,131663,Wrong item,85.33,Approved
900434,103877,Missing item,436.84,Approved
900435,102473,Quality issue,505.88,Rejected
900436,120939,Late delivery,545.52,Approved
900437,116614,Missing item,319.21,Approved
900438,119957,Quality issue,301.53,Approved
900439,107384,Late delivery,174.67,Approved
900440,104263,Changed mind,564.52,Approved
900441,139118,Damaged item,497.33,Approved
900442,131485,Late delivery,287.42,Approved
900443,122468,Missing item,112.32,Approved
900444,112958,Late delivery,529.6,Approved
900445,104320,Damaged item,582.67,Approved
900446,125513,Late delivery,452.48,Approved
900447,121888,Quality issue,318.43,Approved
900448,122724,Late delivery,420.82,Approved
900449,105103,Late delivery,460.08,Approved
900450,127378,Late delivery,174.24,Approved
900451,130955,Changed mind,182.42,Approved
900452,140134,Missing item,264.7,Approved
900453,138541,Damaged item,535.23,Approved
900454,117332,Quality issue,128.11,Approved
900455,118651,Late delivery,152.98,Rejected
900456,125208,Quality issue,476.02,Rejected
900457,100828,Missing item,414.87,Approved
900458,110906,Wrong item,86.97,Approved
900459,121913,Quality issue,326.96,Approved
900460,126645,Damaged item,529.48,Approved
900461,114848,Changed mind,248.2,Approved
900462,123849,Missing item,469.21,Rejected
900463,128945,Damaged item,576.64,Rejected
900464,111994,Missing item,290.05,Approved
900465,113427,Damaged item,425.34,Approved
900466,121001,Wrong item,267.43,Approved
900467,128588,Quality issue,311.2,Approved
900468,137137,Wrong item,432.54,Approved
900469,140443,Missing item,230.69,Approved
900470,120551,Late delivery,310.87,Approved
900471,111007,Late delivery,388.11,Approved
900472,121292,Quality issue,437.03,Approved
900473,132244,Quality issue,518.8,Approved
900474,133069,Changed mind,88.3,Approved
900475,125959,Changed mind,397.34,Approved
900476,137675,Quality issue,549.36,Rejected
900477,116506,Changed mind,357.25,Approved
900478,134458,Changed mind,284.47,Approved
900479,107286,Missing item,339.64,Approved
900480,130050,Late delivery,317.4,Approved
900481,135355,Damaged item,169.54,Approved
900482,107641,Wrong item,137.53,Rejected
900483,102063,Late delivery,488.66,Approved
900484,113478,Late delivery,391.59,Approved
900485,119352,Missing item,559.22,Approved
900486,121377,Late delivery,237.48,Approved
900487,115718,Quality issue,469.51,Approved
900488,123918,Late delivery,211.09,Approved
900489,105410,Wrong item,434.15,Approved
900490,128727,Late delivery,254.7,Approved
900491,134337,Missing item,136.34,Approved
900492,106238,Wrong item,89.92,Approved
900493,108639,Quality issue,172.79,Rejected
900494,103065,Missing item,111.39,Approved
900495,115988,Wrong item,297.04,Approved
900496,105238,Late delivery,116.97,Approved
900497,129145,Missing item,410.97,Approved
900498,128561,Quality issue,276.35,Approved
900499,139710,Missing item,108.3,Approved
900500,109217,Late delivery,478.25,Approved
900501,104373,Missing item,153.3,Approved
900502,137550,Changed mind,195.82,Approved
900503,106743,Late delivery,573.33,Approved
900504,124080,Changed mind,106.38,Approved
900505,127266,Wrong item,437.53,Approved
900506,127284,Missing item,360.09,Rejected
900507,107500,Missing item,228.08,Rejected
900508,103626,Quality issue,207.79,Approved
900509,125761,Damaged item,104.95,Rejected
900510,111695,Wrong item,550.89,Approved
900511,120209,Missing item,181.31,Approved
900512,127277,Damaged item,361.48,Approved
900513,130739,Quality issue,91.51,Approved
900514,124305,Damaged item,157.64,Approved
900515,133149,Wrong item,283.8,Approved
900516,110481,Late delivery,571.53,Approved
900517,134730,Late delivery,112.11,Approved
900518,107052,Changed mind,292,Approved
900519,113477,Late delivery,55.42,Approved
900520,132071,Missing item,436.52,Approved
900521,133410,Late delivery,114.71,Approved
900522,125678,Wrong item,130.38,Approved
900523,135236,Late delivery,259.34,Approved
900524,140448,Quality issue,295.67,Approved
900525,141415,Missing item,498.16,Approved
900526,102366,Wrong item,155.26,Approved
900527,124789,Missing item,64.22,Approved
900528,118927,Missing item,210.08,Approved
900529,141569,Missing item,119.33,Rejected
900530,133767,Damaged item,595.01,Approved
900531,120601,Quality issue,195.84,Approved
900532,117002,Damaged item,270.39,Approved
900533,137016,Quality issue,556.01,Approved
900534,109719,Missing item,570.06,Approved
900535,121764,Wrong item,209.25,Approved
900536,114467,Late delivery,523.98,Approved
900537,131977,Quality issue,405.15,Approved
900538,100314,Quality issue,460.12,Approved
900539,110875,Missing item,326.19,Approved
900540,132149,Quality issue,112.6,Rejected
900541,113306,Quality issue,292.82,Approved
900542,129150,Damaged item,113.35,Rejected
900543,110560,Wrong item,335.46,Approved
900544,126488,Quality issue,96.87,Approved
900545,114117,Quality issue,392.43,Approved
900546,130710,Quality issue,171.24,Approved
900547,107836,Quality issue,284.68,Approved
900548,129155,Quality issue,490.95,Approved
900549,102876,Late delivery,247.87,Approved
900550,104942,Damaged item,411.62,Approved
900551,112130,Damaged item,148.26,Approved
900552,134122,Damaged item,581.08,Approved
900553,107950,Damaged item,400.66,Approved
900554,124434,Wrong item,405.31,Approved
900555,104791,Late delivery,332.07,Approved
900556,118963,Quality issue,95.6,Approved
900557,126276,Damaged item,426.97,Approved
900558,103011,Quality issue,319.91,Approved
900559,120090,Quality issue,414.74,Approved
900560,116572,Quality issue,510.42,Approved
900561,103568,Changed mind,595.66,Rejected
900562,111220,Quality issue,110.98,Approved
900563,130892,Damaged item,467.12,Approved
900564,114426,Quality issue,475.16,Approved
900565,135000,Late delivery,213.68,Approved
900566,101950,Wrong item,121.85,Approved
900567,106535,Damaged item,252.63,Approved
900568,138320,Quality issue,153.1,Approved
900569,113483,Quality issue,454.05,Approved
900570,109695,Wrong item,527.99,Approved
900571,121179,Quality issue,164.7,Approved
900572,104052,Changed mind,254.27,Approved
900573,116452,Changed mind,102.47,Approved
900574,140284,Late delivery,460.46,Approved
900575,129780,Late delivery,93.38,Approved
900576,117024,Wrong item,96.96,Approved
900577,126806,Quality issue,199.49,Approved
900578,107334,Missing item,376.42,Approved
900579,120969,Late delivery,550.27,Approved
900580,108720,Damaged item,402.47,Approved
900581,118885,Late delivery,432.66,Approved
900582,112326,Quality issue,441.63,Approved
900583,131710,Quality issue,75.05,Approved
900584,124056,Wrong item,536.78,Approved
900585,111184,Late delivery,463.81,Approved
900586,111826,Wrong item,511.91,Approved
900587,123685,Quality issue,329.07,Approved
900588,136786,Changed mind,97.34,Approved
900589,117897,Quality issue,142.34,Approved
900590,103057,Late delivery,184.76,Approved
900591,124965,Late delivery,407,Approved
900592,119961,Quality issue,506.29,Approved
900593,113579,Quality issue,157.9,Approved
900594,134637,Late delivery,341.1,Approved
900595,138685,Changed mind,148.69,Approved
900596,108566,Late delivery,92.5,Approved
900597,116969,Quality issue,387.87,Approved
900598,111607,Quality issue,120.06,Approved
900599,108580,Late delivery,237.22,Approved
900600,106162,Damaged item,167.49,Approved
900601,101562,Damaged item,287.77,Approved
900602,117409,Late delivery,375.32,Rejected
900603,122047,Damaged item,273.68,Approved
900604,106770,Wrong item,145.15,Approved
900605,101767,Missing item,458.07,Approved
900606,108523,Missing item,450.11,Approved
900607,137265,Damaged item,468.2,Approved
900608,113053,Late delivery,573.46,Approved
900609,127507,Damaged item,252.83,Approved
900610,105862,Missing item,517.72,Approved
900611,111284,Late delivery,265.52,Approved
900612,132245,Quality issue,100.53,Approved
900613,104613,Late delivery,78.63,Approved
900614,121253,Late delivery,345.36,Approved
900615,127623,Missing item,385.84,Approved
900616,105521,Late delivery,430.69,Approved
900617,128016,Damaged item,325.83,Approved
900618,119482,Wrong item,234.4,Approved
900619,125821,Damaged item,380.1,Rejected
900620,118507,Changed mind,247.12,Approved
900621,137452,Changed mind,281.14,Approved
900622,116403,Damaged item,438.63,Approved
900623,103347,Damaged item,512.71,Approved
900624,132903,Late delivery,506.24,Approved
900625,135263,Wrong item,515.21,Rejected
900626,117555,Changed mind,507.18,Rejected
900627,100061,Damaged item,347.98,Approved
900628,141230,Wrong item,380.25,Approved
900629,119915,Late delivery,299.27,Approved
900630,112276,Late delivery,358.3,Approved
900631,128907,Quality issue,429.62,Approved
900632,115786,Quality issue,481.96,Approved
900633,109826,Late delivery,462.35,Approved
900634,106883,Changed mind,119.74,Approved
900635,101660,Quality issue,61.86,Approved
900636,120456,Damaged item,432.13,Approved
900637,109084,Quality issue,375.75,Approved
900638,109606,Changed mind,557.47,Approved
900639,105283,Changed mind,329.65,Approved
900640,128922,Damaged item,385.33,Approved
900641,100578,Wrong item,489.41,Approved
900642,126224,Damaged item,574.42,Approved
900643,105847,Wrong item,305.24,Approved
900644,114761,Late delivery,508.58,Approved
900645,110824,Quality issue,185.21,Approved
900646,100265,Missing item,161.05,Approved
900647,112702,Damaged item,518.27,Approved
900648,120231,Quality issue,465.74,Approved
900649,114425,Late delivery,87.54,Rejected
900650,105033,Quality issue,400.12,Approved
900651,122381,Late delivery,237.86,Approved
900652,115663,Damaged item,271.15,Approved
900653,100600,Late delivery,334.3,Approved
900654,130727,Quality issue,325.78,Approved
900655,100006,Missing item,498.48,Approved
900656,138637,Changed mind,446.8,Approved
900657,141040,Quality issue,172.66,Approved
900658,115110,Damaged item,316.2,Approved
900659,105740,Quality issue,250.87,Approved
900660,103530,Quality issue,354.26,Approved
900661,141955,Missing item,145.52,Approved
900662,120793,Late delivery,271.91,Approved
900663,119632,Late delivery,589.93,Approved
900664,125129,Wrong item,167.7,Approved
900665,131076,Quality issue,232.17,Approved
900666,139812,Changed mind,344.49,Approved
900667,128158,Changed mind,115.37,Approved
900668,132881,Late delivery,229.32,Approved
900669,108971,Missing item,510.21,Rejected
900670,105174,Missing item,294.67,Approved
900671,125329,Damaged item,175.99,Approved
900672,102742,Wrong item,116.43,Approved
900673,102741,Missing item,431.98,Approved
900674,132666,Wrong item,74.05,Approved
900675,122530,Damaged item,432.99,Approved
900676,131987,Late delivery,408.95,Approved
900677,131143,Wrong item,382.84,Approved
900678,139387,Late delivery,485.08,Approved
900679,128622,Missing item,66.56,Approved
900680,103844,Damaged item,490.43,Approved
900681,113489,Quality issue,416.67,Approved
900682,107236,Wrong item,45.77,Approved
900683,124375,Quality issue,295.78,Approved
900684,128863,Missing item,468.88,Approved
900685,116543,Missing item,302.68,Approved
900686,138521,Changed mind,369.69,Approved
900687,130125,Quality issue,513.97,Approved
900688,104008,Wrong item,471.74,Approved
900689,100662,Late delivery,505.25,Approved
900690,129179,Damaged item,91.99,Approved
900691,112777,Wrong item,149.03,Approved
900692,124483,Wrong item,495.46,Approved
900693,112478,Missing item,417.44,Approved
900694,110108,Wrong item,239.16,Approved
900695,127656,Quality issue,173.68,Approved
900696,102781,Quality issue,199.87,Approved
900697,133329,Damaged item,532.61,Approved
900698,119368,Quality issue,353.9,Approved
900699,113240,Quality issue,251.79,Approved
900700,134465,Wrong item,134.8,Approved
900701,105647,Late delivery,444.66,Approved
